Model,MAE,RMSE,MAPE
SARIMAX,31.023569376895356,43.030384497261345,0.12028836230760867%
XGBoosting,31.24954161423522,40.67154788747206,0.09430550877546205%
LSTM,166.12701042975024,197.89707493603598,48.517090848142445%
